Sample,Soil_Type,Experimental_Year,Tillage,Int,Block,ID2,Tillage_norm,Fertilization_norm,C[%],C/N,N[%],Fe[mg/100g],K2O[mg/100g],Cu[mg/kg],Mg[mg/100g],Mn[mg/kg],Na[mg/kg],NH4-N[mg/100g],NO3-N[mg/100g],OM[%],P2O5[mg/100g],pH,DM[%],Zn[mg/kg]
FS.CT.Ext.C1.2020.trimmed,RAS,2020,CT,Ext,1,FS.CT.Ext.C1.2020.trimmed,Cultivator,extensive,2.04,11.841094771241824,0.1725,2.1500000000000004,21.25,2.475,8.425,119.0,10.0,0.031,0.42,3.4,8.675,7.5,82.225,3.375
FS.CT.Ext.C2.2020.trimmed,RAS,2020,CT,Ext,2,FS.CT.Ext.C2.2020.trimmed,Cultivator,extensive,2.04,11.841094771241824,0.1725,2.1500000000000004,21.25,2.475,8.425,119.0,10.0,0.031,0.42,3.4,8.675,7.5,82.225,3.375
FS.CT.Ext.C3.2020.trimmed,RAS,2020,CT,Ext,3,FS.CT.Ext.C3.2020.trimmed,Cultivator,extensive,2.04,11.841094771241824,0.1725,2.1500000000000004,21.25,2.475,8.425,119.0,10.0,0.031,0.42,3.4,8.675,7.5,82.225,3.375
FS.CT.Ext.C4.2020.trimmed,RAS,2020,CT,Ext,4,,Cultivator,extensive,2.04,11.841094771241824,0.1725,2.1500000000000004,21.25,2.475,8.425,119.0,10.0,0.031,0.42,3.4,8.675,7.5,82.225,3.375
FS.CT.Int.C1.2020.trimmed,RAS,2020,CT,Int,1,FS.CT.Int.C1.2020.trimmed,Cultivator,intensive,2.1125,11.906045751634,0.1775,2.425,20.3,2.55,9.325000000000001,141.5,8.75,0.06175,0.4945,3.475,9.3,7.475,83.85,3.575
FS.CT.Int.C2.2020.trimmed,RAS,2020,CT,Int,2,FS.CT.Int.C2.2020.trimmed,Cultivator,intensive,2.1125,11.906045751634,0.1775,2.425,20.3,2.55,9.325000000000001,141.5,8.75,0.06175,0.4945,3.475,9.3,7.475,83.85,3.575
FS.CT.Int.C3.2020.trimmed,RAS,2020,CT,Int,3,FS.CT.Int.C3.2020.trimmed,Cultivator,intensive,2.1125,11.906045751634,0.1775,2.425,20.3,2.55,9.325000000000001,141.5,8.75,0.06175,0.4945,3.475,9.3,7.475,83.85,3.575
FS.CT.Int.C4.2020.trimmed,RAS,2020,CT,Int,4,FS.CT.Int.C4.2020.trimmed,Cultivator,intensive,2.1125,11.906045751634,0.1775,2.425,20.3,2.55,9.325000000000001,141.5,8.75,0.06175,0.4945,3.475,9.3,7.475,83.85,3.575
FS.MP.Ext.C1.2020.trimmed,RAS,2020,MP,Ext,1,FS.MP.Ext.C1.2020.trimmed,Plough,extensive,1.7875,12.123809523809525,0.1475,2.525,19.3,2.875,8.05,133.25,11.5,0.062,0.367,2.975,11.1,7.525,83.525,4.125
FS.MP.Ext.C2.2020.trimmed,RAS,2020,MP,Ext,2,FS.MP.Ext.C2.2020.trimmed,Plough,extensive,1.7875,12.123809523809525,0.1475,2.525,19.3,2.875,8.05,133.25,11.5,0.062,0.367,2.975,11.1,7.525,83.525,4.125
FS.MP.Ext.C3.2020.trimmed,RAS,2020,MP,Ext,3,FS.MP.Ext.C3.2020.trimmed,Plough,extensive,1.7875,12.123809523809525,0.1475,2.525,19.3,2.875,8.05,133.25,11.5,0.062,0.367,2.975,11.1,7.525,83.525,4.125
