sample_id,study_id,pipeline_version,sample_name,latitude,longitude,collection_date,biome,feature,material,biome_envo,metadata_complete,batch_correctable
ERS25265507,MGYS00006846,5.0,,,,,,,,unknown,False,False
ERS25313689,MGYS00006846,5.0,Metagenomic_solo_RS,-7.1216,-39.1931,,Area de grave poluicao ambiental por metais pesados,dryland soil,water/soil,unknown,True,False
ERS25313690,MGYS00006846,5.0,Metagenomic_solo_RA,-7.1445,-39.1859,,Area de grave poluicao ambiental por metais pesados,dryland soil,water/soil,unknown,True,False
SRS105347,MGYS00006821,5.0,BAF2,,,,,,,unknown,False,False
SRS105348,MGYS00006821,5.0,BAF3,,,,,,,unknown,False,False
SRS105355,MGYS00006821,5.0,FMG1,,,,,,,unknown,False,False
SRS105352,MGYS00006821,5.0,FUG1,,,,,,,unknown,False,False
SRS105360,MGYS00006821,5.0,UPG3,,,,,,,unknown,False,False
SRS105344,MGYS00006821,5.0,SAF2,,,,,,,unknown,False,False
SRS105353,MGYS00006821,5.0,FUG2,,,,,,,unknown,False,False
SRS105356,MGYS00006821,5.0,,,,,,,,unknown,False,False
SRS105358,MGYS00006821,5.0,UPG1,,,,,,,unknown,False,False
ERS6356204,MGYS00005779,5.0,1.1.8.1,1.5077,-75.92,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356200,MGYS00005779,5.0,1.1.7.1,1.4801,-75.8789,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356176,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356201,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356207,MGYS00005779,5.0,1.1.8.4,1.5077,-75.92,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356196,MGYS00005779,5.0,1.1.6.1,1.5245,-75.9407,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356199,MGYS00005779,5.0,1.1.6.4,1.5245,-75.9407,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356193,MGYS00005779,5.0,1.1.5.2,1.5229,-75.9381,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356183,MGYS00005779,5.0,1.1.2.4,1.5197,-75.9399,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356190,MGYS00005779,5.0,1.1.4.3,1.5239,-75.9342,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356181,MGYS00005779,5.0,1.1.2.2,1.5197,-75.9399,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356185,MGYS00005779,5.0,1.1.3.2,1.5169,-75.9398,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356182,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356238,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356219,MGYS00005779,5.0,2.4.4,1.5169,-75.9398,2019-12-01,ENVO:01000228,ENVO:01000338,ENVO:01000338,unknown,True,False
ERS6356224,MGYS00005779,5.0,3.4.1.1,0.7377,-75.1819,2019-12-01,ENVO:01000228,ENVO:00005773,ENVO:00005773,unknown,True,False
ERS6356239,MGYS00005779,5.0,3.4.4.4,0.7385,-75.1812,2019-12-01,ENVO:01000228,ENVO:00005773,ENVO:00005773,unknown,True,False
ERS6356235,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356210,MGYS00005779,5.0,1.1.9.3,1.518,-75.9245,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356217,MGYS00005779,5.0,2.4.2,1.5169,-75.9398,2019-12-01,ENVO:01000228,ENVO:01000338,ENVO:01000338,unknown,True,False
ERS6356209,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356218,MGYS00005779,5.0,2.4.3,1.5169,-75.9398,2019-12-01,ENVO:01000228,ENVO:01000338,ENVO:01000338,unknown,True,False
ERS6356215,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356214,MGYS00005779,5.0,2.1.3,1.5169,-75.9398,2019-12-01,ENVO:01000228,ENVO:01000338,ENVO:01000338,unknown,True,False
ERS6356230,MGYS00005779,5.0,3.4.2.3,0.7377,-75.1819,2019-12-01,ENVO:01000228,ENVO:00005773,ENVO:00005773,unknown,True,False
ERS6356229,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356211,MGYS00005779,5.0,1.1.9.4,1.518,-75.9245,2019-12-01,ENVO:01000228,ENVO:00001998,ENVO:00001998,unknown,True,False
ERS6356231,MGYS00005779,5.0,3.4.2.4,0.7377,-75.1819,2019-12-01,ENVO:01000228,ENVO:00005773,ENVO:00005773,unknown,True,False
ERS6356227,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356221,MGYS00005779,5.0,,,,,,,,unknown,False,False
ERS6356223,MGYS00005779,5.0,2.7.4,1.5169,-75.9398,2019-12-01,ENVO:01000228,ENVO:01000338,ENVO:01000338,unknown,True,False
