section,task,model,target,split,n_samples,metric_primary,metric_name,rmse,rmse_improvement_over_mean,accuracy,accuracy_over_majority
diagnostic_regression,neon_site_level_ph_from_microbiome,Ridge,ph,GroupKFold,2482,0.5181560875435953,r2,0.957159541187357,0.5400668661043588,,
diagnostic_regression,neon_site_level_ph_from_microbiome,RandomForest,ph,GroupKFold,2482,0.6586052456774696,r2,0.8056744039138589,0.6783194333213199,,
diagnostic_regression,usda_microbiome_only_pH_1_1,Ridge,pH_1_1,GroupKFold,423,0.8167404041663499,r2,0.4308527523348802,0.5764270873313315,,
diagnostic_regression,usda_microbiome_only_pH_1_1,RandomForest,pH_1_1,GroupKFold,423,0.7825137820059882,r2,0.46936573309496665,0.5386992696630577,,
diagnostic_regression,usda_microbiome_only_OM_percent,Ridge,OM_percent,GroupKFold,423,0.350470937441948,r2,0.8505035328545376,0.21272562304067436,,
diagnostic_regression,usda_microbiome_only_OM_percent,RandomForest,OM_percent,GroupKFold,423,0.3050832800121249,r2,0.8797174537384076,0.20814607180249817,,
diagnostic_regression,usda_microbiome_only_CEC,Ridge,CEC,GroupKFold,423,0.5206505534383561,r2,0.7100265843981663,0.3247062095845443,,
diagnostic_regression,usda_microbiome_only_CEC,RandomForest,CEC,GroupKFold,423,0.3895971155005339,r2,0.801229227227378,0.23572974427926807,,
diagnostic_regression,usda_microbiome_only_P_ppm,Ridge,P_ppm,GroupKFold,423,0.373961206512614,r2,0.7299843826940478,0.199228338166958,,
diagnostic_regression,usda_microbiome_only_P_ppm,RandomForest,P_ppm,GroupKFold,423,0.3516940763178551,r2,0.7428531015194395,0.18634778271920302,,
diagnostic_regression,usda_microbiome_only_K_ppm,Ridge,K_ppm,GroupKFold,423,0.02460686966438619,r2,1.042145916572611,0.006518840770455036,,
diagnostic_regression,usda_microbiome_only_K_ppm,RandomForest,K_ppm,GroupKFold,423,0.131825812767434,r2,0.9832005650666957,0.07091991936135926,,
diagnostic_regression,usda_microbiome_soil_management_pH_1_1,Ridge,pH_1_1,GroupKFold,423,0.8630938869948456,r2,0.37239764813102144,0.634804502600004,,
diagnostic_regression,usda_microbiome_soil_management_pH_1_1,RandomForest,pH_1_1,GroupKFold,423,0.9961384266006355,r2,0.06254284839613347,0.9476488018884549,,
diagnostic_regression,usda_microbiome_soil_management_OM_percent,Ridge,OM_percent,GroupKFold,423,0.6125934745705912,r2,0.656841060783559,0.4041549368940071,,
diagnostic_regression,usda_microbiome_soil_management_OM_percent,RandomForest,OM_percent,GroupKFold,423,0.9436622959369103,r2,0.2504819294970673,0.8501660313973533,,
diagnostic_regression,usda_microbiome_soil_management_CEC,Ridge,CEC,GroupKFold,423,0.7560022598624007,r2,0.5065722511672534,0.5266971172804512,,
diagnostic_regression,usda_microbiome_soil_management_CEC,RandomForest,CEC,GroupKFold,423,0.9874806443202374,r2,0.11474650950288881,0.9174647989163189,,
diagnostic_regression,usda_microbiome_soil_management_P_ppm,Ridge,P_ppm,GroupKFold,423,0.5675765820964964,r2,0.6066909946507396,0.3230355158561283,,
diagnostic_regression,usda_microbiome_soil_management_P_ppm,RandomForest,P_ppm,GroupKFold,423,0.9952379971083343,r2,0.06366603056425758,0.8714142365408118,,
diagnostic_regression,usda_microbiome_soil_management_K_ppm,Ridge,K_ppm,GroupKFold,423,0.48740360966761365,r2,0.7554860624697874,0.28850831014204176,,
diagnostic_regression,usda_microbiome_soil_management_K_ppm,RandomForest,K_ppm,GroupKFold,423,0.9074174220493629,r2,0.3210726552549463,0.8266905617264049,,
prescription_candidate_regression,usda_microbiome_only_yield,Ridge,Yield_per_meter,GroupKFold,423,-0.011190274303570336,r2,1583.6306947048859,-9.217147027235024,,
prescription_candidate_regression,usda_microbiome_only_yield,RandomForest,Yield_per_meter,GroupKFold,423,0.13918956997628995,r2,1461.13797819971,114.37128430239981,,
prescription_candidate_regression,usda_microbiome_soil_management_yield,Ridge,Yield_per_meter,GroupKFold,423,-0.010307345156135517,r2,1582.9391636014816,-8.814648563463425,,
prescription_candidate_regression,usda_microbiome_soil_management_yield,RandomForest,Yield_per_meter,GroupKFold,423,0.1312500575207387,r2,1467.860768833307,107.30319270672257,,
prescription_candidate_regression,bonares_westerfeld_microbiome_management_yield,Ridge,yield_value,GroupKFold,192,-8.311727471370881,r2,69.76957022374428,11.33599383547731,,
prescription_candidate_regression,bonares_westerfeld_microbiome_management_yield,RandomForest,yield_value,GroupKFold,192,-3.968965424886431,r2,50.96639393946286,11.330945533983316,,
management_and_stress_classification,usda_microbiome_fumigation_detection,Logistic,Fumigation1,GroupKFold,423,0.7421789617486338,balanced_accuracy,,,0.7494089834515366,0.18263305322128856
management_and_stress_classification,usda_microbiome_fumigation_detection,RandomForest,Fumigation1,GroupKFold,423,0.7366120218579235,balanced_accuracy,,,0.7541371158392435,0.18703081232493
management_and_stress_classification,naylor_microbiome_drought_detection_leave_genotype,Logistic,treatment,GroupKFold,623,0.9028465346534653,balanced_accuracy,,,0.9020866773675762,0.3884533887796005
management_and_stress_classification,naylor_microbiome_drought_detection_leave_genotype,RandomForest,treatment,GroupKFold,623,0.9127475247524752,balanced_accuracy,,,0.9117174959871589,0.3974390920693203
management_and_stress_classification,naylor_microbiome_drought_detection_random_cv,Logistic,treatment,StratifiedKFold(5),623,0.9109220297029703,balanced_accuracy,,,0.9101123595505618,0.3964774193548387
management_and_stress_classification,naylor_microbiome_drought_detection_random_cv,RandomForest,treatment,StratifiedKFold(5),623,0.9044090346534654,balanced_accuracy,,,0.9036918138041734,0.3900516129032258
cross_dataset_transfer,westerfeld_to_bernburg_ph,Ridge,ph,Westerfeld -> Bernburg,94,-19.695303552974732,r2,0.46274169306500196,-0.24443416302528606,,
cross_dataset_transfer,westerfeld_to_bernburg_ph,RandomForest,ph,Westerfeld -> Bernburg,94,-2.0884008079523806,r2,0.17875967626685615,0.03954785377285974,,
cross_dataset_transfer,bernburg_to_westerfeld_ph,Ridge,ph,Bernburg -> Westerfeld,192,-5.275583287152378,r2,0.9368205886383009,-0.5159165669100485,,
cross_dataset_transfer,bernburg_to_westerfeld_ph,RandomForest,ph,Bernburg -> Westerfeld,192,-0.3981218293811173,r2,0.44218284145938624,-0.02127881973113388,,
cross_dataset_transfer,westerfeld_to_bernburg_total_carbon,Ridge,total_carbon,Westerfeld -> Bernburg,94,0.0752872108740188,r2,0.23454871530140503,0.016233449476850015,,
cross_dataset_transfer,westerfeld_to_bernburg_total_carbon,RandomForest,total_carbon,Westerfeld -> Bernburg,94,-0.0021863254928307096,r2,0.2441764991362422,0.006605665642012842,,
cross_dataset_transfer,bernburg_to_westerfeld_total_carbon,Ridge,total_carbon,Bernburg -> Westerfeld,192,0.14720001958505124,r2,0.22157213772629403,0.025344572820776567,,
cross_dataset_transfer,bernburg_to_westerfeld_total_carbon,RandomForest,total_carbon,Bernburg -> Westerfeld,192,-0.2606766405957195,r2,0.2693974061111998,-0.022480695564129183,,
cross_dataset_transfer,westerfeld_to_bernburg_total_nitrogen,Ridge,total_nitrogen,Westerfeld -> Bernburg,94,0.1739174725485334,r2,0.022826408310567398,0.00320510278546993,,
cross_dataset_transfer,westerfeld_to_bernburg_total_nitrogen,RandomForest,total_nitrogen,Westerfeld -> Bernburg,94,-0.12863782789833866,r2,0.02668106521471631,-0.0006495541186789834,,
cross_dataset_transfer,bernburg_to_westerfeld_total_nitrogen,Ridge,total_nitrogen,Bernburg -> Westerfeld,192,-10.379543939508345,r2,0.10022191269976934,-0.06973302987482917,,
cross_dataset_transfer,bernburg_to_westerfeld_total_nitrogen,RandomForest,total_nitrogen,Bernburg -> Westerfeld,192,-0.018964045826556974,r2,0.029990222537934604,0.0004986602870055666,,
shortcut_probes,neon_site_shortcut,probe,shortcut_label,StratifiedKFold(3),2482,0.6361867098158565,accuracy_over_majority,,,,
shortcut_probes,usda_field_shortcut,probe,shortcut_label,StratifiedKFold(2),422,0.42654028436018954,accuracy_over_majority,,,,
