dataset_id,sample_id,site_id,year,intervention,control_flag,microbiome_available,soil_chemistry_available,outcome_available,soil_ph,total_carbon,total_nitrogen,organic_matter,cec,phosphorus,potassium,yield_value,outcome_type,notes
bonares_westerfeld,WESTERFELD_1_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.47,2.1012204,0.165,3.3651207688,,22.95,32.15,63.6453488372093,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_2_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.19,2.4493159,0.216,4.1637380812,,20.55,41.25,68.1488372093023,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_3_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.53,1.9019592,0.155,2.9259728,,19.65,17.2,65.7313953488372,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_4_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.49,1.8336632,0.171,2.9112862164,,23.6,19.15,68.321511627907,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_5_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.48,2.130078,0.194,3.5603356676,,21.65,35.5,62.2976744186047,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_5_2020,Westerfeld,2020,Cultivator+extensive,False,True,True,True,7.5,2.035,0.175,3.4,,8.399999999999999,20.950000000000003,94.7,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_6_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.47,2.3909454,0.193,3.8771077376,,24.95,35.0,69.7643410852713,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_6_2020,Westerfeld,2020,Cultivator+intensive,False,True,True,True,7.5,2.0949999999999998,0.18,3.55,,11.2,20.75,99.0,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_7_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.25,1.8444449,0.155,3.0280975604,,15.45,15.1,61.840826873385,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_7_2020,Westerfeld,2020,Plough+intensive,False,True,True,True,7.5,1.81,0.15000000000000002,3.0,,17.3,16.15,85.2,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_8_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.51,1.8271215,0.227,2.934494532,,22.85,19.4,60.9755167958656,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_8_2020,Westerfeld,2020,Plough+extensive,False,True,True,True,7.55,1.81,0.15,2.95,,11.95,18.0,83.9,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_9_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,6.92,2.0442391,0.221,3.4538617724,,13.35,27.65,66.3355297157623,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_10_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,6.66,2.5093346,0.247,4.3085985604,,13.95,35.3,63.9175710594315,yield_total,single-site factorial tillage/fertilization long-term trial
