run_id,collection_date,env_biome,env_feature,env_material,geo_loc_name,host,lat_lon,misc_param,BioSampleModel,title,host_genotype,host_life_stage,isolation_source,plant_body_site,watering_regm,replicate,treatment
SRR5225284,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum bicolor  pre-flowering Drought Root,PI656029,pre-flowering,Sorghum bicolor,Root,Drought,Biological Replicate 2,drought
SRR5225283,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum bicolor  pre-flowering Drought Rhizosphere,PI656029,pre-flowering,Sorghum bicolor,Rhizosphere,Drought,Biological Replicate 2,drought
SRR5225282,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum bicolor  pre-flowering Drought Soil,PI656029,pre-flowering,Sorghum bicolor,Soil,Drought,Biological Replicate 2,drought
SRR5225281,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum bicolor  pre-flowering Control Root,PI656029,pre-flowering,Sorghum bicolor,Root,Control,Biological Replicate 2,control
SRR5225280,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum bicolor  pre-flowering Control Rhizosphere,PI656029,pre-flowering,Sorghum bicolor,Rhizosphere,Control,Biological Replicate 2,control
SRR5225279,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum bicolor  pre-flowering Control Soil,PI656029,pre-flowering,Sorghum bicolor,Soil,Control,Biological Replicate 2,control
SRR5225278,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum laxiflorum pre-flowering Drought Root,PI562254,pre-flowering,Sorghum laxiflorum,Root,Drought,Biological Replicate 2,drought
SRR5225277,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum laxiflorum pre-flowering Drought Rhizosphere,PI562254,pre-flowering,Sorghum laxiflorum,Rhizosphere,Drought,Biological Replicate 2,drought
SRR5225276,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum laxiflorum pre-flowering Drought Soil,PI562254,pre-flowering,Sorghum laxiflorum,Soil,Drought,Biological Replicate 2,drought
SRR5225275,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Sorghum laxiflorum pre-flowering Control Root,PI562254,pre-flowering,Sorghum laxiflorum,Root,Control,Biological Replicate 2,control
